Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt(15:180),GHI_Tilt(15:180)_Flag,GTI(15:180),GTI(15:180)_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,PV_Power,PV_Power_Flag,PV_Power.1,PV_Power_Flag.1,Wind_Speed,Wind_Speed_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,GHI_Tilt(15:180)_original,GHI_Tilt(15:180)_original_Flag,GTI(15:180)_original,GTI(15:180)_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES
2019//3//8,67,06::35:19,18::08:26,12::21:32,6.904,15.93,3.181,3.125,3.758,3.362,-,-,1.031,3.125,1.735,3.124,2.15,3.127,11.99,7.236,36.762,3.151,0.307791667,2.59,-0.16,7.96,-0.014,0.0202,0,0,-,-,0,0,-0.0291,0.0472,-
2019//3//9,68,06::33:39,18::09:37,12::21:17,6.977,15.967,3.024,3.125,3.364,3.362,-,-,0.544,3.125,1.087,3.126,2.48,3.126,10.305,8.527,33.077,3.247,0.411666667,5.39,-1.14,11.99,-0.0229,0.0188,0,0,-,-,0,0,-0.0513,0.0602,-
2019//3//10,69,06::31:57,18::10:48,12::21:02,7.049,16.028,4.263,3.125,5.227,3.362,-,-,2.679,3.125,5.044,3.125,1.583,3.129,20.48,4.367,51.368,2.569,0.905319444,5.45,0.93,11.48,-0.0266,0.0324,0,0,-,-,0,0,-0.058,0.0762,-
2019//3//11,70,06::30:17,18::11:58,12::20:46,7.122,16.088,5.323,3.125,6.88,3.369,-,-,4.743,3.125,9.175,3.125,0.58,3.13,26.648,3.61,66.639,2.464,0.800069444,4.31,-1.67,18.64,-0.0385,0.0269,0,0,-,-,0,0,-0.0765,0.0711,-
2019//3//12,71,06::28:36,18::13:08,12::20:30,7.195,16.145,3.266,3.126,3.787,3.362,-,-,1.422,3.125,2.326,3.125,1.845,3.129,12.566,6.943,37.739,3.398,0.909298611,3.81,2.52,8.98,-0.0085,0.0104,0,0,-,-,0,0,-0.0168,0.0316,-
2019//3//13,72,06::26:53,18::14:18,12::20:14,7.267,16.185,5.722,3.125,7.1,3.362,-,-,4.477,3.125,8.431,3.125,1.245,3.129,27.884,3.48,67.625,2.412,0.497104167,3.09,0.26,12.74,-0.0192,0.023,0,0,-,-,0,0,-0.0369,0.0538,-
2019//3//14,73,06::25:11,18::15:26,12::19:58,7.34,16.267,5.22,3.125,6.566,3.362,-,-,4.069,3.125,7.585,3.125,1.151,3.125,25.64,3.784,63.182,2.555,0.400430556,2.21,-3.34,16.23,-0.0254,0.0227,0,0,-,-,0,0,-0.0497,0.0554,-
2019//3//15,74,06::23:29,18::16:36,12::19:41,7.413,16.327,5.567,3.125,7.022,3.369,-,-,4.944,3.125,9.393,3.125,0.623,3.129,26.857,3.661,65.754,2.464,0.415208333,1.85,-1.21,19.57,-0.0391,0.0222,0,0,-,-,0,0,-0.0696,0.0607,-
2019//3//16,75,06::21:45,18::17:45,12::19:24,7.485,16.364,5.291,3.125,6.448,3.362,-,-,3.578,3.125,6.851,3.125,1.713,3.126,24.02,4.101,60.358,2.538,0.500166667,2.57,-0.67,19.38,-0.0261,0.0233,0,0,-,-,0,0,-0.0452,0.0512,-
2019//3//17,76,06::20:02,18::18:54,12::19:07,7.557,16.423,5.668,3.336,7.068,3.362,-,-,4.921,3.341,9.173,3.293,0.747,3.303,26.256,3.77,64.708,2.497,0.394097222,2.71,1.38,22.61,-0.0206,0.0249,0,0,-,-,0,0,-0.044,0.0609,-
2019//3//18,77,06::18:20,18::20:03,12::18:49,7.629,16.482,5.72,3.134,7.064,3.369,-,-,5.022,3.132,9.337,3.144,0.697,3.131,26.534,3.736,65.326,2.475,1.077291667,5.08,3.73,23.56,-0.0358,0.0324,0,0,-,-,0,0,-0.0629,0.0645,-
2019//3//19,78,06::16:37,18::21:12,12::18:32,7.701,16.539,3.7,3.125,4.107,3.362,-,-,1.016,3.126,1.687,3.125,2.683,3.127,13.116,7.303,39.948,2.957,2.010541667,7.53,8.04,23.94,-0.0166,0.016,0,0,-,-,0,0,-0.0355,0.0472,-
2019//3//20,79,06::14:52,18::22:19,12::18:14,7.773,16.578,4.657,3.125,5.351,3.362,-,-,2.908,3.125,4.912,3.125,1.749,3.127,19.355,4.849,50.63,2.967,1.724319444,7.58,5.44,18.13,-0.0109,0.0112,0,0,-,-,0,0,-0.0296,0.0454,-
2019//3//21,80,06::13:08,18::23:27,12::17:56,7.845,16.659,5.332,3.125,6.494,3.362,-,-,4.064,3.125,6.333,3.125,1.268,3.128,24.265,4.012,61.135,2.7,0.4104375,2.5,3.28,17.25,-0.0136,0.0173,0,0,-,-,0,0,-0.0275,0.043,-
2019//3//22,81,06::11:26,18::24:35,12::17:39,7.916,16.718,1.964,3.125,2.027,3.362,-,-,0.023,3.153,0.032,3.163,1.94,3.127,3.034,27.079,18.171,5.027,2.136722222,7.36,3.83,13.41,-0.0101,0.0116,0,0,-,-,0,0,-0.0176,0.0308,-
2019//3//23,82,06::09:41,18::25:44,12::17:21,7.987,16.754,2.195,3.126,2.236,3.362,-,-,0.253,3.12,0.38,3.128,1.943,3.128,4.393,19.264,20.585,4.788,0.497930556,3.43,3.52,11.53,-0.0041,0.0081,0,0,-,-,0,0,-0.0109,0.0284,-
2019//3//24,83,06::07:57,18::26:52,12::17:03,8.058,16.813,5.409,3.125,6.452,3.362,-,-,3.437,3.125,5.306,3.125,1.972,3.127,25.678,3.956,64.423,2.623,1.6775,6.09,-0.27,16.08,-0.009,0.011,0,0,-,-,0,0,-0.022,0.0367,-
2019//3//25,84,06::06:14,18::28:00,12::16:44,8.129,16.871,2.391,3.125,2.395,3.362,-,-,0.132,3.134,0.196,3.126,2.258,3.129,5.676,16.748,23.498,4.432,1.797965278,7.03,3.93,12.26,-0.0062,0.009,0,0,-,-,0,0,-0.0157,0.0334,-
2019//3//26,85,06::04:31,18::29:07,12::16:26,8.199,16.929,4.622,3.125,5.028,3.362,-,-,1.25,3.125,2.107,3.124,3.372,3.126,18.235,5.795,49.445,2.756,0.857777778,4.64,2.06,14.47,-0.0072,0.0101,0,0,-,-,0,0,-0.018,0.0357,-
2019//3//27,86,06::02:46,18::30:15,12::16:08,8.269,16.965,4.503,3.125,5.032,3.362,-,-,2.257,3.125,3.816,3.125,2.246,3.127,18.514,5.37,50.26,2.821,1.645972222,5.63,3.49,14.22,-0.015,0.0168,0,0,-,-,0,0,-0.0375,0.0524,-
2019//3//28,87,06::01:02,18::31:21,12::15:50,8.339,17.046,3.529,3.125,3.769,3.362,-,-,0.841,3.125,1.448,3.126,2.688,3.126,11.777,8.781,35.481,3.588,1.637645833,6.27,3.28,14.46,-0.0053,0.0087,0,0,-,-,0,0,-0.0142,0.034,-
2019//3//29,88,05::59:20,18::32:28,12::15:32,8.408,17.105,2.932,3.125,3.258,3.362,-,-,1.39,3.124,2.537,3.125,1.542,3.127,8.933,8.876,31.417,3.532,0.500666667,3.5,0.39,14.67,-0.0035,0.007,0,0,-,-,0,0,-0.0088,0.0254,-
2019//3//30,89,05::57:37,18::33:36,12::15:14,8.477,17.16,5.708,3.125,6.755,3.362,-,-,4.53,3.125,7.211,3.125,1.178,3.129,26.781,3.833,63.825,2.651,0.429034722,2.46,-0.77,17.26,-0.0092,0.0145,0,0,-,-,0,0,-0.0211,0.0405,-
2019//3//31,90,05::55:53,18::34:44,12::14:56,8.545,17.198,6.084,3.125,7.252,3.362,-,-,4.935,3.125,8.063,3.125,1.149,3.126,28.131,3.739,68.155,2.565,0.439277778,2.42,1.11,21.89,-0.0053,0.008,0,0,-,-,0,0,-0.0184,0.0378,-
2019//4//1,91,05::54:10,18::35:51,12::14:38,8.613,17.256,2.183,3.125,2.121,3.362,-,-,0.,100,0.,100,2.182,3.1270000000000002,4.1850000000000005,20.178,20.588,4.391,0.24945833333333337,2.15,7.61,14.43,-0.0007,0.003,0.,0.,-,-,0.,0.,-0.0043,0.0201,-
2019//4//2,92,05::52:29,18::36:58,12::14:21,8.681000000000001,17.314,3.7960000000000003,3.125,4.149,3.362,-,-,1.188,3.124,1.752,3.124,2.609,3.126,13.953,6.275,41.292,2.778,0.30438888888888893,2.65,8.18,16.71,-0.0094,0.0108,0.,0.,-,-,0.,0.,-0.0251,0.0414,-
2019//4//3,93,05::50:45,18::38:06,12::14:03,8.748,17.349,3.359,3.125,3.45,3.362,-,-,0.367,3.1270000000000002,0.629,3.1270000000000002,2.992,3.126,10.284,10.387,33.418,3.424,0.2889097222222222,2.39,7.96,16.91,-0.007200000000000001,0.0097,0.,0.,-,-,0.,0.,-0.026000000000000002,0.0456,-
2019//4//4,94,05::49:03,18::39:13,12::13:45,8.814,17.407,4.0920000000000005,3.125,4.471,3.362,-,-,1.181,3.124,1.875,3.126,2.911,3.126,15.422,6.53,44.898,2.985,1.119326388888889,5.11,7.7700000000000005,16.97,-0.005,0.0081,0.,0.,-,-,0.,0.,-0.015600000000000001,0.0359,-
2019//4//5,95,05::47:23,18::40:19,12::13:28,8.88,17.464,3.954,3.125,4.242,3.362,-,-,1.6440000000000001,3.124,2.969,3.125,2.31,3.126,14.11,7.328,38.437,3.348,1.4361875000000004,5.39,6.390000000000001,15.67,-0.0047,0.0086,0.,0.,-,-,0.,0.,-0.0135,0.032100000000000004,-
2019//4//6,96,05::45:41,18::41:25,12::13:11,8.946,17.522000000000002,2.969,3.125,3.124,3.362,-,-,0.317,3.128,0.456,3.128,2.652,3.126,8.68,10.408,30.419,3.6830000000000003,1.7361180555555558,7.13,5.83,17.51,-0.0034000000000000002,0.0085,0.,0.,-,-,0.,0.,-0.010100000000000001,0.029,-
2019//4//7,97,05::44:00,18::42:33,12::12:54,9.011000000000001,17.580000000000002,2.43,3.125,2.607,3.361,-,-,0.076,3.13,0.111,3.132,2.354,3.1270000000000002,5.8580000000000005,15.307,24.501,4.192,1.2752847222222223,6.22,11.31,20.86,-0.0021000000000000003,0.0053,0.,0.,-,-,0.,0.,-0.007200000000000001,0.024,-
2019//4//8,98,05::42:20,18::43:40,12::12:38,9.076,17.637,1.816,3.124,1.784,3.361,-,-,0.015,3.114,0.023,3.068,1.801,3.126,2.376,34.784,16.283,5.736,0.3047916666666667,3.24,7.3,14.64,-0.0171,0.0182,0.,0.,-,-,0.,0.,-0.1336,0.1441,-
2019//4//9,99,05::40:40,18::44:48,12::12:21,9.14,17.672,4.937,3.125,5.386,3.362,-,-,2.454,3.124,4.081,3.125,2.483,3.1270000000000002,20.142,5.297,51.601,2.98,1.1963472222222225,3.95,4.39,12.93,-0.0165,0.0135,0.,0.,-,-,0.,0.,-0.1102,0.1164,-
2019//4//10,100,05::39:01,18::45:55,12::12:05,9.203,17.729,4.772,3.125,5.292,3.362,-,-,2.072,3.124,2.821,3.125,2.7,3.1270000000000002,19.033,4.632,54.706,2.642,0.6878402777777779,3.0500000000000003,3.92,13.58,-0.007500000000000001,0.010700000000000001,0.,0.,-,-,0.,0.,-0.0184,0.036500000000000005,-
2019//4//11,101,05::37:23,18::47:02,12::11:49,9.266,17.787,2.57,3.125,2.521,3.362,-,-,0.052000000000000005,3.1550000000000002,0.08700000000000001,3.108,2.5180000000000002,3.1270000000000002,6.393,13.694,25.281,4.011,0.43995138888888885,2.59,5.54,9.34,-0.0188,0.0146,0.,0.,-,-,0.,0.,-0.1298,0.1336,-
2019//4//12,102,05::35:44,18::48:09,12::11:34,9.328,17.821,5.527,3.125,6.174,3.362,-,-,3.0620000000000003,3.125,4.498,3.125,2.464,3.126,23.196,4.327,58.648,2.707,0.4638194444444445,2.81,5.55,16.34,-0.0307,0.0126,0.,0.,-,-,0.,0.,-0.1704,0.1277,-
2019//4//13,103,05::34:06,18::49:16,12::11:18,9.39,17.879,5.296,3.125,5.796,3.362,-,-,2.14,3.125,3.74,3.125,3.156,3.126,21.624,4.8580000000000005,58.528,2.575,0.7291527777777778,3.1,2.0100000000000002,18.41,-0.0152,0.016300000000000002,0.,0.,-,-,0.,0.,-0.033100000000000004,0.048400000000000006,-
2019//4//14,104,05::32:30,18::50:22,12::11:03,9.451,17.958000000000002,1.923,3.125,1.8800000000000001,3.361,-,-,0.003,2.903,0.004,2.931,1.92,3.128,2.641,35.375,17.008,6.327,0.3835416666666666,2.32,5.47,11.03,-0.0085,0.010100000000000001,0.,0.,-,-,0.,0.,-0.0238,0.045700000000000005,-
2019//4//15,105,05::30:53,18::51:29,12::10:49,9.511000000000001,17.993000000000002,2.055,3.125,1.998,3.362,-,-,0.038,3.098,0.11,3.119,2.017,3.1270000000000002,3.2960000000000003,28.891000000000002,18.291,6.087,0.19188888888888891,1.96,3.24,9.73,-0.0077,0.0095,0.,0.,-,-,0.,0.,-0.054400000000000004,0.0745,-
2019//4//16,106,05::29:18,18::52:36,12::10:35,9.571,18.051000000000002,6.8260000000000005,3.125,7.8340000000000005,3.362,-,-,5.188,3.125,7.859,3.125,1.6380000000000001,3.125,30.637,3.603,70.938,2.6470000000000002,0.41684027777777777,2.49,4.16,17.38,-0.030600000000000002,0.020200000000000003,0.,0.,-,-,0.,0.,-0.10060000000000001,0.08460000000000001,-
2019//4//17,107,05::27:43,18::53:44,12::10:21,9.63,18.085,6.7170000000000005,3.125,7.556,3.362,-,-,4.953,3.125,7.973,3.125,1.7630000000000001,3.1270000000000002,29.265,3.823,70.174,2.543,0.5463402777777778,2.96,6.04,21.17,-0.0234,0.022500000000000003,0.,0.,-,-,0.,0.,-0.0415,0.053700000000000005,-
2019//4//18,108,05::26:08,18::54:51,12::10:07,9.688,18.142,7.114,3.125,8.01,3.362,-,-,6.347,3.125,10.397,3.125,0.767,3.126,30.571,3.633,71.696,2.537,0.5287916666666667,2.49,5.5600000000000005,27.22,-0.024900000000000002,0.0175,0.,0.,-,-,0.,0.,-0.0494,0.0512,-
2019//4//19,109,05::24:36,18::55:59,12::09:54,9.746,18.197,6.022,3.125,6.692,3.362,-,-,4.425,3.125,6.913,3.125,1.598,3.126,24.539,4.108,62.929,2.609,0.8581041666666667,3.34,8.56,26.28,-0.0159,0.0129,0.,0.,-,-,0.,0.,-0.034300000000000004,0.0463,-
2019//4//20,110,05::23:02,18::57:06,12::09:41,9.802,18.234,1.867,3.125,1.9100000000000001,3.362,-,-,0.029,3.076,0.073,3.134,1.838,3.128,2.86,33.923,17.137,6.0200000000000005,0.9957708333333334,2.97,8.76,14.21,-0.006200000000000001,0.01,0.,0.,-,-,0.,0.,-0.017400000000000002,0.0391,-
2019//4//21,111,05::21:32,18::58:13,12::09:29,9.859,18.29,7.184,3.125,7.98,3.362,-,-,5.7250000000000005,3.125,8.447000000000001,3.125,1.459,3.1270000000000002,31.408,3.5740000000000003,74.432,2.587,0.7373194444444446,3.06,6.65,18.73,-0.006,0.0094,0.,0.,-,-,0.,0.,-0.0145,0.032100000000000004,-
2019//4//22,112,05::20:00,18::59:19,12::09:17,9.914,18.326,7.26,3.125,7.995,3.362,-,-,6.007000000000001,3.125,9.227,3.125,1.2530000000000001,3.126,31.251,3.628,72.872,2.596,0.5781736111111112,2.92,3.5300000000000002,24.39,-0.0235,0.024300000000000002,0.,0.,-,-,0.,0.,-0.0483,0.0582,-
2019//4//23,113,05::18:32,19::00:25,12::09:06,9.969,18.405,7.224,3.125,7.92,3.362,-,-,6.106,3.125,9.379,3.125,1.118,3.1270000000000002,30.372,3.6510000000000002,70.7,2.6270000000000002,0.6337361111111111,2.61,8.76,26.44,-0.0159,0.0145,0.,0.,-,-,0.,0.,-0.0337,0.0476,-
2019//4//24,114,05::17:01,19::01:32,12::08:55,10.023,18.44,6.852,3.125,7.525,3.362,-,-,5.382,3.125,7.604,3.125,1.469,3.128,28.485,3.83,66.656,2.6710000000000003,0.6866111111111112,2.88,11.03,25.330000000000002,-0.0012000000000000001,0.0041,0.,0.,-,-,0.,0.,-0.0068000000000000005,0.0247,-
2019//4//25,115,05::15:35,19::02:40,12::08:45,10.076,18.496,7.41,3.125,8.038,3.362,-,-,6.25,3.125,9.667,3.125,1.16,3.126,30.803,3.765,71.686,2.649,0.6877361111111112,3.14,7.04,26.5,0.,0.0005,0.,0.,-,-,0.,0.,-0.0004,0.0068000000000000005,-
2019//4//26,116,05::14:07,19::03:47,12::08:35,10.129,18.532,7.6610000000000005,3.125,8.339,3.362,-,-,6.558,3.125,9.936,3.125,1.103,3.126,32.383,3.532,73.265,2.587,0.7123819444444446,3.41,6.42,22.67,-0.0012000000000000001,0.004,0.,0.,-,-,0.,0.,-0.0048000000000000004,0.020300000000000002,-
2019//4//27,117,05::12:41,19::04:54,12::08:25,10.18,18.567,7.787,3.125,8.408,3.362,-,-,6.632000000000001,3.125,10.513,3.125,1.155,3.126,32.723,3.486,73.531,2.602,0.953201388888889,3.15,3.22,21.39,-0.0002,0.0012000000000000001,0.,0.,-,-,0.,0.,-0.0023,0.015300000000000001,-
2019//4//28,118,05::11:17,19::06:01,12::08:17,10.231,18.624,7.955,3.1310000000000002,8.572000000000001,3.371,-,-,6.946,3.137,11.025,3.134,1.0090000000000001,3.1350000000000002,32.742,3.507,73.772,2.592,0.5126944444444445,3.16,1.28,21.78,-0.00030000000000000003,0.002,0.,0.,-,-,0.,0.,-0.0016,0.012,-
2019//4//29,119,05::09:52,19::07:07,12::08:08,10.281,18.659,8.077,3.125,8.688,3.37,-,-,7.1690000000000005,3.125,11.396,3.125,0.907,3.1270000000000002,33.008,3.487,73.57000000000001,2.597,0.6807708333333334,2.94,1.62,20.53,-0.0008,0.003,0.,0.,-,-,0.,0.,-0.0046,0.020900000000000002,-
2019//4//30,120,05::08:31,19::08:14,12::08:00,10.33,18.716,8.066,3.125,8.651,3.367,-,-,7.126,3.125,11.269,3.125,0.9400000000000001,3.1270000000000002,32.972,3.4530000000000003,73.803,2.59,0.6086041666666667,2.95,3.06,20.37,-0.0023,0.0061,0.,0.,-,-,0.,0.,-0.0102,0.0302,-
2019//5//1,121,05::07:09,19::09:19,12::07:53,10.379,18.751,7.94,3.125,8.625,3.362,-,-,6.986,3.125,10.971,3.125,0.9550000000000001,3.124,32.886,3.507,73.251,2.621,0.7839861111111113,3.27,1.58,20.61,-0.0039000000000000003,0.0073,0.,0.,-,-,0.,0.,-0.0126,0.0328,-
2019//5//2,122,05::05:49,19::10:25,12::07:46,10.426,18.809,7.971,3.125,8.613,3.362,-,-,6.796,3.125,10.609,3.125,1.175,3.124,32.516,3.541,73.231,2.624,0.5789652777777778,2.8000000000000003,1.53,21.39,-0.0009000000000000001,0.0034000000000000002,0.,0.,-,-,0.,0.,-0.0044,0.019700000000000002,-
2019//5//3,123,05::04:31,19::11:31,12::07:40,10.473,18.865000000000002,7.865,3.125,8.496,3.362,-,-,6.574,3.125,10.195,3.125,1.291,3.126,31.247,3.685,70.729,2.6350000000000002,0.5159861111111111,2.67,2.11,25.22,-0.0004,0.0021000000000000003,0.,0.,-,-,0.,0.,-0.0026000000000000003,0.015700000000000002,-
2019//5//4,124,05::03:13,19::12:37,12::07:34,10.519,18.901,7.839,3.125,8.455,3.362,-,-,6.593,3.125,10.153,3.125,1.246,3.126,31.078,3.668,69.853,2.637,0.5053958333333333,2.69,4.79,26.560000000000002,-0.00030000000000000003,0.0019,0.,0.,-,-,0.,0.,-0.0007,0.0073,-
2019//5//5,125,05::01:56,19::13:43,12::07:29,10.564,18.936,7.9510000000000005,3.125,8.562,3.362,-,-,6.753,3.125,10.486,3.125,1.199,3.124,27.495,3.855,53.639,2.773,0.6886388888888889,2.74,6.51,27.5,0.,0.,0.,0.,-,-,0.,0.,-0.0005,0.0071,-
2019//5//6,126,05::00:42,19::14:48,12::07:24,10.609,18.972,7.888,3.125,8.474,3.362,-,-,6.7250000000000005,3.125,10.316,3.125,1.163,3.125,31.084,3.715,71.31400000000001,2.6430000000000002,0.6564236111111111,2.8000000000000003,5.99,27.44,0.,0.0005,0.,0.,-,-,0.,0.,-0.0005,0.007200000000000001,-
2019//5//7,127,04::59:30,19::15:53,12::07:20,10.652000000000001,19.029,7.829,3.125,8.358,3.362,-,-,6.271,3.125,9.548,3.125,1.558,3.125,30.932000000000002,3.791,70.989,2.67,0.9030625000000001,3.83,8.16,25.28,0.,0.,0.,0.,-,-,0.,0.,0.,0.,-
2019//5//8,128,04::58:17,19::16:58,12::07:17,10.694,19.065,7.807,3.125,8.319,3.362,-,-,6.535,3.125,10.105,3.125,1.272,3.124,30.44,3.783,69.772,2.6270000000000002,0.6871458333333335,2.81,6.2700000000000005,27.39,0.,0.,0.,0.,-,-,0.,0.,-0.0014,0.0125,-
2019//5//9,129,04::57:06,19::18:02,12::07:14,10.736,19.1,7.921,3.125,8.465,3.362,-,-,6.692,3.125,9.773,3.125,1.229,3.125,30.615000000000002,3.607,69.862,2.6270000000000002,0.7508541666666667,4.78,8.23,29.78,0.,0.,0.,0.,-,-,0.,0.,0.,0.,-
2019//5//10,130,04::55:57,19::19:06,12::07:12,10.777000000000001,19.135,8.206,3.125,8.711,3.362,-,-,7.159,3.125,11.037,3.125,1.047,3.125,30.606,3.778,69.52,2.661,0.7416111111111113,3.91,12.86,29.94,0.,0.,0.,0.,-,-,0.,0.,0.,0.,-
2019//5//11,131,04::54:49,19::20:10,12::07:10,10.816,19.171,8.063,3.125,8.529,3.362,-,-,6.985,3.125,10.745000000000001,3.125,1.078,3.124,30.459,3.759,68.375,2.672,0.6177569444444444,2.74,8.700000000000001,30.,0.,0.,0.,0.,-,-,0.,0.,0.,0.,-
2019//5//12,132,04::53:43,19::21:13,12::07:09,10.855,19.207,7.49,3.125,7.845,3.362,-,-,5.682,3.125,8.427,3.125,1.808,3.126,28.111,4.317,71.128,2.6710000000000003,0.6711736111111111,2.99,9.94,27.78,0.,0.,0.,0.,-,-,0.,0.,0.,0.,-
2019//5//13,133,04::52:39,19::22:15,12::07:08,10.893,19.242,6.87,3.125,7.171,3.362,-,-,3.955,3.125,5.586,3.125,2.915,3.125,25.233,4.771,59.188,2.915,0.49330555555555555,2.77,6.86,25.28,0.,0.,0.,0.,-,-,0.,0.,0.,0.,-
2019//5//14,134,04::51:36,19::23:18,12::07:08,10.93,19.278,2.896,3.125,2.823,3.362,-,-,0.011,3.265,0.014,3.037,2.8850000000000002,3.125,6.08,18.885,23.926000000000002,4.926,0.3100625,2.52,10.11,16.76,0.,0.,0.,0.,-,-,0.,0.,0.,0.,-
2019//5//15,135,04::50:35,19::24:19,12::07:09,10.966000000000001,19.314,3.331,3.125,3.2720000000000002,3.362,-,-,0.423,3.124,0.736,3.125,2.9090000000000003,3.125,8.616,11.15,27.043,4.26,1.0303194444444446,4.33,10.57,19.27,-0.0005,0.0026000000000000003,0.,0.,-,-,0.,0.,-0.0028,0.0166,-
2019//5//16,136,04::49:36,19::25:20,12::07:10,11.002,19.35,4.26,3.125,4.296,3.362,-,-,0.989,3.124,1.5130000000000001,3.124,3.271,3.125,13.971,7.94,41.385,3.032,1.3367361111111111,5.71,8.13,16.89,-0.0001,0.0008,0.,0.,-,-,0.,0.,-0.0006000000000000001,0.007500000000000001,-
2019//5//17,137,04::48:38,19::26:21,12::07:11,11.036,19.386,5.408,3.125,5.478,3.362,-,-,1.3880000000000001,3.124,2.048,3.125,4.0200000000000005,3.125,18.987000000000002,6.2010000000000005,51.022,2.936,0.43020833333333336,3.41,7.54,18.39,0.,0.,0.,0.,-,-,0.,0.,-0.0005,0.0076,-
2019//5//18,138,04::47:41,19::27:20,12::07:14,11.069,19.423000000000002,2.424,3.125,2.384,3.361,-,-,0.022,3.072,0.075,3.108,2.402,3.126,4.157,27.425,19.499,6.4510000000000005,2.208951388888889,7.58,6.17,15.46,0.,0.0006000000000000001,0.,0.,-,-,0.,0.,-0.0006000000000000001,0.0076,-
2019//5//19,139,04::46:47,19::28:20,12::07:16,11.102,19.459,5.905,3.125,6.051,3.362,-,-,2.1430000000000002,3.125,2.586,3.125,3.762,3.125,21.548000000000002,5.203,58.45,2.863,0.5118055555555555,3.5,4.25,18.67,0.,0.0006000000000000001,0.,0.,-,-,0.,0.,-0.0016,0.0132,-
2019//5//20,140,04::45:54,19::29:18,12::07:20,11.133000000000001,19.495,7.69,3.125,8.183,3.362,-,-,5.4270000000000005,3.125,6.789,3.125,2.262,3.126,32.048,3.6630000000000003,77.276,2.602,0.5993680555555556,2.98,5.13,18.94,0.,0.0006000000000000001,0.,0.,-,-,0.,0.,-0.0017000000000000001,0.0132,-
2019//5//21,141,04::45:04,19::30:16,12::07:23,11.163,19.532,2.442,3.124,2.368,3.361,-,-,0.08700000000000001,3.136,0.139,3.132,2.354,3.125,5.01,19.463,21.172,5.365,0.1363958333333333,1.92,7.21,10.92,-0.0002,0.0017000000000000001,0.,0.,-,-,0.,0.,-0.0045000000000000005,0.021500000000000002,-
2019//5//22,142,04::44:15,19::31:13,12::07:28,11.193,19.569,5.034,3.125,5.094,3.362,-,-,1.569,3.125,2.2520000000000002,3.125,3.465,3.125,17.622,6.333,48.166000000000004,3.119,0.9580694444444445,3.77,8.17,18.41,-0.0011,0.0036000000000000003,0.,0.,-,-,0.,0.,-0.022600000000000002,0.051300000000000005,-
2019//5//23,143,04::43:29,19::32:09,12::07:33,11.221,19.605,6.3740000000000006,3.125,6.598,3.362,-,-,3.49,3.125,4.749,3.125,2.884,3.125,23.55,4.639,58.601,2.928,0.9194305555555558,2.72,10.790000000000001,22.39,-0.0024000000000000002,0.0064,0.,0.,-,-,0.,0.,-0.007200000000000001,0.0233,-
2019//5//24,144,04::42:43,19::33:04,12::07:38,11.249,19.62,7.596,3.125,7.8180000000000005,3.362,-,-,5.336,3.125,7.627,3.125,2.259,3.125,29.683,3.9010000000000002,70.78,2.6830000000000003,1.1269791666666666,3.85,7.930000000000001,23.06,-0.0005,0.0027,0.,0.,-,-,0.,0.,-0.0015,0.0112,-
2019//5//25,145,04::41:59,19::33:59,12::07:44,11.276,19.657,6.0520000000000005,3.125,6.218,3.362,-,-,3.173,3.125,4.147,3.125,2.879,3.125,23.087,4.621,62.204,2.691,1.0894652777777778,3.25,4.69,16.92,0.,0.,0.,0.,-,-,0.,0.,-0.0022,0.016300000000000002,-
2019//5//26,146,04::41:18,19::34:52,12::07:50,11.301,19.694,6.046,3.125,6.234,3.362,-,-,2.56,3.125,3.177,3.125,3.486,3.125,22.8,4.6530000000000005,56.412,2.942,0.5459583333333333,2.48,4.44,18.11,-0.0022,0.0061,0.,0.,-,-,0.,0.,-0.0246,0.0606,-
2019//5//27,147,04::40:39,19::35:44,12::07:57,11.326,19.71,5.69,3.125,5.8340000000000005,3.362,-,-,2.278,3.125,2.83,3.125,3.411,3.125,20.648,5.4110000000000005,54.105000000000004,3.001,0.7246319444444445,3.18,10.06,21.94,-0.0031000000000000003,0.0066,0.,0.,-,-,0.,0.,-0.0308,0.0623,-
2019//5//28,148,04::40:01,19::36:34,12::08:05,11.349,19.747,7.889,3.125,8.22,3.362,-,-,6.604,3.138,8.902000000000001,3.136,1.285,3.133,31.691,3.7110000000000003,70.846,2.758,0.7328958333333335,3.69,9.05,25.17,-0.0022,0.0057,0.,0.,-,-,0.,0.,-0.0059,0.0211,-
2019//5//29,149,04::39:27,19::37:25,12::08:13,11.372,19.762,8.407,3.125,8.6,3.362,-,-,7.032,3.125,10.370000000000001,3.125,1.375,3.126,32.423,3.693,73.95,2.638,0.69125,2.98,7.47,27.,-0.0007,0.003,0.,0.,-,-,0.,0.,-0.0046,0.020900000000000002,-
