Station ID Number:,94249,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt(90:180),GHI_Tilt(90:180)_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,GHI_Tilt(90:180)_original,GHI_Tilt(90:180)_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES
Station Name:,SIO,-,-,-,-,Element:,1000,-,1960,-,2000,-,2010,-,3000,-,9300,-,1000_original,-,1960_original,-,2010_original,-,3000_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,SilverLake_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY40691_GHI),-,LICOR(PY22973),-,RSP(PY40691_DNI),-,RSP(PY40691_DNI),-,RSP(PY40691_DHI),-,Temperature(SIO),-,RSP(PY40691_GHI),-,LICOR(PY22973),-,RSP(PY40691_DNI),-,RSP(PY40691_DHI),-,File format description at: http://solardat.uoregon.edu/download/Papers/Structure_of_a_comprehensive_solar_radiation_dataset_ASES_2017_Final.pdf
Latitude:,43.11896,-,-,-,-,Instrument Shorthand Name:,RSP,-,GHI_TILT,-,-,-,RSP,-,RSP,-,TEMP(SIO),-,RSP,-,GHI_TILT,-,RSP,-,RSP,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-121.05879,-,-,-,-,Responsivity:,10.0302,microV/(W/m^2),14.715800000000002,microV/(W/m^2),-,-,10.0302,microV/(W/m^2),10.0302,microV/(W/m^2),1000.0000000000001,microV?/C,10.0302,microV/(W/m^2),14.715800000000002,microV/(W/m^2),10.0302,microV/(W/m^2),10.0302,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,1324.,-,-,-,-,Estimated Uncertainty (U95%):,2.525,-,4.638,-,2.525,-,2.525,-,2.525,-,2.2,-,2.525,-,4.638,-,2.525,-,2.525,-,The phrase (_original) means the data has not had the nighttime offset subtracted (or any other adjustments).
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,1,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2019-8-16
Year//Month,2014//01,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: AAA Check data (2019-07-10).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SZA horizon boundaries (East/West): 88/88.5
YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2014//1//1,1,07::36:44,16::39:18,12::07:56,3.323,12.677,2.311,2.665,5.271,4.638,1.619,2.665,5.212,2.868,0.6920000000000001,2.5260000000000002,-8.27,9.18,-0.0014,0.0039000000000000003,0.005200000000000001,0.007200000000000001,0.,0.,-0.0051,0.0297,-
2014//1//2,2,07::36:46,16::40:12,12::08:24,3.34,12.700000000000001,2.344,3.028,5.555,4.73,1.607,2.952,5.638,3.129,0.737,2.524,-10.03,12.48,-0.0036000000000000003,0.0073,0.010400000000000001,0.014,0.,0.,-0.0053,0.0213,-
2014//1//3,3,07::36:47,16::41:08,12::08:52,3.359,12.724,2.34,2.525,5.726,4.638,1.934,2.5260000000000002,6.002,2.525,0.405,2.529,-10.11,11.540000000000001,-0.0006000000000000001,0.0025,0.0031000000000000003,0.0078000000000000005,0.,0.,-0.0011,0.0105,-
2014//1//4,4,07::36:45,16::42:06,12::09:19,3.378,12.747,2.576,2.525,6.598,4.638,2.211,2.525,7.3500000000000005,2.525,0.366,2.5220000000000002,-15.75,5.43,-0.0304,0.0342,0.056600000000000004,0.039900000000000005,0.,0.,-0.057800000000000004,0.0847,-
2014//1//5,5,07::36:40,16::43:05,12::09:46,3.399,12.77,2.524,2.525,6.356,4.638,2.122,2.525,6.982,2.525,0.402,2.524,-15.96,5.94,-0.0443,0.051000000000000004,0.059500000000000004,0.0514,0.,0.,-0.0711,0.09040000000000001,-
2014//1//6,6,07::36:34,16::44:05,12::10:12,3.422,12.793000000000001,1.452,2.525,1.829,4.639,0.328,2.524,0.9380000000000001,2.525,1.124,2.5260000000000002,-14.24,3.69,-0.0095,0.014400000000000001,0.0177,0.0205,0.,0.,-0.0194,0.048600000000000004,-
2014//1//7,7,07::36:24,16::45:07,12::10:38,3.446,12.84,1.2790000000000001,2.525,1.024,4.638,0.07200000000000001,2.5380000000000003,0.232,2.5300000000000002,1.207,2.525,0.03,8.040000000000001,0.,0.0004,0.,0.,0.,0.,0.,0.0004,-
2014//1//8,8,07::36:12,16::46:10,12::11:04,3.471,12.863,1.348,2.525,1.435,4.638,0.23600000000000002,2.521,0.6,2.524,1.112,2.5260000000000002,1.08,7.23,0.,0.,0.,0.,0.,0.,0.,0.,-
2014//1//9,9,07::35:57,16::47:15,12::11:28,3.497,12.885,1.155,2.5260000000000002,0.9490000000000001,4.7010000000000005,0.039,2.501,0.182,2.528,1.117,2.525,-1.95,4.74,0.,0.0004,0.,0.,0.,0.,0.,0.0004,-
2014//1//10,10,07::35:41,16::48:21,12::11:53,3.525,12.908,0.771,2.524,0.431,4.64,0.004,2.662,0.011,2.633,0.767,2.525,-1.21,7.11,0.,0.,0.0001,0.0008,0.,0.,0.,0.,-
2014//1//11,11,07::35:22,16::49:28,12::12:16,3.5540000000000003,12.954,1.793,2.525,3.149,4.638,1.117,2.5260000000000002,2.757,2.525,0.676,2.525,-1.95,6.9,-0.0001,0.0009000000000000001,0.0001,0.0012000000000000001,0.,0.,-0.0001,0.0009000000000000001,-
2014//1//12,12,07::34:59,16::50:36,12::12:39,3.585,13.,1.6320000000000001,2.524,1.9160000000000001,4.6370000000000005,0.255,2.521,0.923,2.524,1.377,2.525,-2.,4.51,-0.0001,0.0009000000000000001,0.0002,0.0015,0.,0.,-0.0001,0.0009000000000000001,-
2014//1//13,13,07::34:36,16::51:47,12::13:02,3.617,13.022,1.852,3.0500000000000003,-,-,0.358,2.567,0.895,2.608,1.5,2.906,-2.2600000000000002,8.09,0.,0.0005,0.0001,0.001,0.,0.,0.,0.0005,-
2014//1//14,14,07::34:09,16::52:58,12::13:24,3.65,13.067,2.7,2.525,6.106,4.638,2.169,2.525,6.571,2.525,0.53,2.527,-8.75,11.,-0.0001,0.0011,0.0007,0.0028,0.,0.,-0.0001,0.0011,-
2014//1//15,15,07::33:41,16::54:09,12::13:45,3.684,13.089,2.717,2.525,6.078,4.646,2.0300000000000002,2.524,6.0760000000000005,2.525,0.6880000000000001,2.524,-9.47,14.040000000000001,-0.00030000000000000003,0.0019,0.0012000000000000001,0.0037,0.,0.,-0.0008,0.0105,-
2014//1//16,16,07::33:10,16::55:21,12::14:05,3.72,13.134,2.813,2.525,6.63,4.638,2.383,2.525,7.509,2.525,0.43,2.5260000000000002,-12.61,11.21,-0.0021000000000000003,0.0055000000000000005,0.0071,0.0105,0.,0.,-0.0049,0.025500000000000002,-
2014//1//17,17,07::32:37,16::56:35,12::14:25,3.757,13.179,2.845,2.525,6.602,4.638,2.407,2.525,7.415,2.525,0.438,2.523,-11.8,11.61,-0.0022,0.0054,0.006200000000000001,0.0095,0.,0.,-0.0041,0.0212,-
2014//1//18,18,07::32:01,16::57:50,12::14:44,3.795,13.224,2.85,2.669,6.18,4.638,2.1670000000000003,2.67,6.806,2.873,0.683,2.524,-12.83,11.71,-0.0039000000000000003,0.007200000000000001,0.0105,0.012,0.,0.,-0.01,0.037000000000000005,-
2014//1//19,19,07::31:24,16::59:05,12::15:03,3.835,13.269,2.439,2.525,5.321,4.638,1.627,2.5260000000000002,5.567,2.525,0.811,2.527,-12.46,14.01,-0.0074,0.0125,0.0184,0.0228,0.,0.,-0.0126,0.037200000000000004,-
2014//1//20,20,07::30:43,17::00:20,12::15:20,3.875,13.290000000000001,2.904,2.525,6.635,4.638,2.516,2.525,7.667,2.525,0.388,2.523,-9.370000000000001,11.64,-0.0006000000000000001,0.0023,0.0028,0.0055000000000000005,0.,0.,-0.0011,0.0106,-
2014//1//21,21,07::30:01,17::01:37,12::15:37,3.9170000000000003,13.358,2.984,2.525,6.705,4.638,2.595,2.525,7.759,2.525,0.389,2.5260000000000002,-13.16,14.83,-0.0089,0.017400000000000002,0.016900000000000002,0.024900000000000002,0.,0.,-0.016300000000000002,0.046700000000000005,-
2014//1//22,22,07::29:17,17::02:55,12::15:53,3.96,13.402000000000001,2.966,2.525,6.526,4.638,2.545,2.525,7.442,2.525,0.422,2.523,-9.75,9.82,-0.002,0.005,0.006200000000000001,0.0097,0.,0.,-0.0047,0.0236,-
2014//1//23,23,07::28:31,17::04:12,12::16:09,4.005,13.445,2.759,2.525,5.371,4.638,2.,2.525,5.496,2.525,0.759,2.5260000000000002,-11.69,8.33,-0.008,0.0128,0.0148,0.016900000000000002,0.,0.,-0.0166,0.044700000000000004,-
2014//1//24,24,07::27:42,17::05:29,12::16:23,4.05,13.49,3.084,2.525,6.761,4.638,2.664,2.525,7.876,2.525,0.42,2.523,-15.07,9.540000000000001,-0.011300000000000001,0.0195,0.0198,0.026000000000000002,0.,0.,-0.0205,0.0516,-
2014//1//25,25,07::26:51,17::06:49,12::16:37,4.097,13.534,3.059,2.525,6.6000000000000005,4.638,2.625,2.525,7.672000000000001,2.525,0.434,2.525,-12.32,12.64,-0.0066,0.010400000000000001,0.0149,0.0166,0.,0.,-0.013000000000000001,0.039400000000000004,-
2014//1//26,26,07::25:58,17::08:08,12::16:50,4.144,13.577,3.13,2.525,6.711,4.638,2.7,2.525,7.851,2.525,0.429,2.528,-11.65,15.3,-0.004,0.007500000000000001,0.010100000000000001,0.013600000000000001,0.,0.,-0.0091,0.0345,-
2014//1//27,27,07::25:04,17::09:26,12::17:02,4.1930000000000005,13.644,1.268,2.525,0.848,4.667,0.059000000000000004,2.505,0.232,2.524,1.209,2.5260000000000002,-4.33,10.1,-0.0001,0.0008,0.0002,0.0014,0.,0.,-0.0001,0.0008,-
2014//1//28,28,07::24:08,17::10:47,12::17:13,4.243,13.687000000000001,1.176,2.525,0.835,4.64,0.032,2.497,0.08700000000000001,2.537,1.1440000000000001,2.527,2.2800000000000002,8.66,0.,0.,0.,0.0006000000000000001,0.,0.,0.,0.,-
2014//1//29,29,07::23:09,17::12:07,12::17:24,4.2940000000000005,13.731,2.103,2.525,3.129,4.639,1.,2.524,2.896,2.525,1.103,2.5260000000000002,1.11,9.28,-0.0001,0.0009000000000000001,0.0001,0.001,0.,0.,-0.0001,0.0009000000000000001,-
2014//1//30,30,07::22:09,17::13:26,12::17:33,4.346,13.797,2.652,2.525,3.85,4.708,1.316,2.5260000000000002,2.894,2.525,1.335,2.525,-8.18,6.18,-0.0036000000000000003,0.008,0.0109,0.016900000000000002,0.,0.,-0.0089,0.034300000000000004,-
2014//1//31,31,07::21:07,17::14:47,12::17:42,4.399,13.84,2.508,2.525,3.853,4.639,1.034,2.525,3.436,2.525,1.474,2.525,-9.26,3.39,-0.0159,0.014700000000000001,0.0369,0.0194,0.,0.,-0.0287,0.0512,-
2014//2//1,32,07::20:03,17::16:08,12::17:50,4.453,13.883000000000001,3.431,2.525,6.828,4.638,3.015,2.525,8.423,2.525,0.41600000000000004,2.528,-12.89,6.11,-0.0223,0.022500000000000003,0.0492,0.0323,0.,0.,-0.0543,0.0799,-
2014//2//2,33,07::18:57,17::17:27,12::17:58,4.508,13.948,1.574,2.525,1.1400000000000001,5.5360000000000005,0.012,2.519,0.029,2.513,1.562,2.527,-12.21,4.84,-0.0221,0.0303,0.0422,0.0444,0.,0.,-0.0434,0.0724,-
2014//2//3,34,07::17:50,17::18:49,12::18:04,4.564,13.991,2.62,2.525,3.6990000000000003,4.638,1.216,2.525,3.071,2.525,1.4040000000000001,2.5260000000000002,-6.71,2.27,-0.0035,0.0063,0.0099,0.0105,0.,0.,-0.0077,0.030000000000000002,-
2014//2//4,35,07::16:41,17::20:10,12::18:10,4.621,14.033,2.242,2.525,2.493,4.639,0.72,2.5260000000000002,1.506,2.525,1.522,2.5260000000000002,-8.73,0.67,-0.0131,0.014400000000000001,0.028300000000000002,0.0173,0.,0.,-0.029500000000000002,0.0594,-
2014//2//5,36,07::15:32,17::21:30,12::18:15,4.679,14.121,2.837,2.525,4.04,4.837,1.375,2.525,3.221,2.525,1.462,2.527,-13.13,-3.85,-0.0575,0.0332,0.084,0.0315,0.,0.,-0.09290000000000001,0.0864,-
2014//2//6,37,07::14:19,17::22:51,12::18:19,4.738,14.164,2.12,2.5260000000000002,1.8,4.6370000000000005,0.247,2.521,0.49,2.527,1.874,2.5260000000000002,-13.540000000000001,1.43,-0.039400000000000004,0.0434,0.056900000000000006,0.053200000000000004,0.,0.,-0.058800000000000005,0.07740000000000001,-
2014//2//7,38,07::13:04,17::24:12,12::18:22,4.797,14.206,1.11,2.5260000000000002,0.678,4.641,0.,100,0.001,1.506,1.11,2.528,-1.75,4.72,-0.0017000000000000001,0.0046,0.0035,0.0061,0.,0.,-0.0043,0.024,-
2014//2//8,39,07::11:49,17::25:32,12::18:24,4.8580000000000005,14.27,1.348,2.525,1.387,4.639,0.246,2.525,1.087,2.524,1.102,2.527,1.54,6.66,-0.0005,0.0023,0.0011,0.0035,0.,0.,-0.0025,0.021400000000000002,-
2014//2//9,40,07::10:33,17::26:53,12::18:26,4.9190000000000005,14.334,2.5460000000000003,2.525,3.726,4.639,1.532,2.524,3.6950000000000003,2.525,1.0150000000000001,2.525,-2.73,9.75,-0.0022,0.0056,0.0045000000000000005,0.0082,0.,0.,-0.0071,0.0337,-
2014//2//10,41,07::09:14,17::28:14,12::18:27,4.981,14.376,3.396,2.525,4.908,4.638,1.87,2.525,4.979,2.525,1.526,2.5260000000000002,-4.91,9.57,-0.0086,0.0128,0.0122,0.0152,0.,0.,-0.0181,0.049,-
2014//2//11,42,07::07:54,17::29:33,12::18:27,5.0440000000000005,14.441,2.611,2.525,2.6750000000000003,4.6690000000000005,0.603,2.525,1.287,2.5260000000000002,2.008,2.527,-1.37,9.06,-0.0011,0.0039000000000000003,0.0011,0.0034000000000000002,0.,0.,-0.0016,0.0114,-
2014//2//12,43,07::06:34,17::30:54,12::18:26,5.1080000000000005,14.503,1.052,2.5260000000000002,0.445,4.643,0.,100,0.,100,1.052,2.5300000000000002,3.62,7.66,0.,0.0004,0.,0.0006000000000000001,0.,0.,0.,0.0004,-
2014//2//13,44,07::05:11,17::32:14,12::18:25,5.172,14.546000000000001,2.569,2.525,2.7600000000000002,4.638,0.766,2.523,1.637,2.524,1.803,2.528,2.72,9.88,-0.0001,0.0008,0.0001,0.0008,0.,0.,-0.0001,0.0008,-
2014//2//14,45,07::03:47,17::33:32,12::18:22,5.237,14.61,1.059,2.5260000000000002,0.447,4.644,0.,100,0.,100,1.059,2.531,2.17,7.36,-0.0002,0.0016,0.0004,0.002,0.,0.,-0.0007,0.0109,-
2014//2//15,46,07::02:23,17::34:53,12::18:20,5.303,14.674,2.871,2.525,3.4050000000000002,4.657,1.346,2.524,2.732,2.525,1.5250000000000001,2.528,0.97,12.71,-0.0007,0.0027,0.0007,0.0026000000000000003,0.,0.,-0.0013000000000000002,0.0111,-
2014//2//16,47,07::00:56,17::36:12,12::18:16,5.369,14.714,3.273,2.525,4.7250000000000005,4.638,1.968,2.525,5.031,2.525,1.305,2.5260000000000002,-3.22,6.42,-0.0032,0.0058000000000000005,0.0039000000000000003,0.0064,0.,0.,-0.0053,0.0221,-
2014//2//17,48,06::59:30,17::37:30,12::18:12,5.436,14.8,3.2,2.525,3.6430000000000002,4.638,1.474,2.525,3.638,2.525,1.726,2.527,-0.26,9.44,-0.0039000000000000003,0.007500000000000001,0.0046,0.008,0.,0.,-0.0054,0.0199,-
2014//2//18,49,06::58:00,17::38:50,12::18:07,5.503,14.841000000000001,3.325,2.525,3.739,4.638,1.254,2.525,2.806,2.525,2.071,2.527,-1.42,10.6,-0.005,0.008,0.0053,0.0079,0.,0.,-0.014400000000000001,0.046900000000000004,-
2014//2//19,50,06::56:32,17::40:09,12::18:01,5.572,14.903,4.18,3.1630000000000003,6.313,4.638,2.682,3.424,7.317,3.63,1.498,2.81,-10.93,2.32,-0.11910000000000001,0.08080000000000001,0.1095,0.061500000000000006,0.,0.,-0.1628,0.115,-
2014//2//20,51,06::55:00,17::41:26,12::17:55,5.64,14.967,2.7600000000000002,2.525,2.761,4.639,0.856,2.525,1.582,2.524,1.9040000000000001,2.5260000000000002,-2.21,5.69,-0.04,0.0358,0.0448,0.033100000000000004,0.,0.,-0.0646,0.0815,-
2014//2//21,52,06::53:30,17::42:44,12::17:48,5.7090000000000005,15.029,4.095,2.525,5.692,4.638,2.723,2.525,6.458,2.525,1.372,2.5260000000000002,-2.2800000000000002,9.59,-0.0132,0.0128,0.0227,0.015300000000000001,0.,0.,-0.021500000000000002,0.0453,-
2014//2//22,53,06::51:56,17::44:02,12::17:40,5.779,15.069,4.428,2.525,6.418,4.638,3.766,2.525,8.728,2.525,0.662,2.528,-4.12,11.89,-0.016900000000000002,0.019200000000000002,0.020300000000000002,0.0176,0.,0.,-0.032100000000000004,0.0603,-
2014//2//23,54,06::50:24,17::45:19,12::17:32,5.849,15.132,3.59,2.525,4.236,4.638,1.979,2.524,4.25,2.525,1.612,2.525,-4.55,14.,-0.0119,0.017400000000000002,0.016300000000000002,0.0193,0.,0.,-0.022600000000000002,0.0521,-
2014//2//24,55,06::48:48,17::46:36,12::17:23,5.92,15.194,3.331,2.525,3.517,4.639,1.137,2.5260000000000002,2.267,2.525,2.194,2.5260000000000002,0.28,16.66,-0.0022,0.0049,0.0023,0.0049,0.,0.,-0.0048000000000000004,0.024800000000000003,-
2014//2//25,56,06::47:13,17::47:54,12::17:13,5.9910000000000005,15.256,3.982,2.527,5.237,4.638,2.948,2.5300000000000002,6.,2.533,1.033,2.5340000000000003,-3.5,17.55,-0.005,0.0098,0.0059,0.0109,0.,0.,-0.012,0.0417,-
2014//2//26,57,06::45:37,17::49:10,12::17:03,6.062,15.295,1.828,2.525,1.072,4.6370000000000005,0.097,2.5140000000000002,0.157,2.521,1.731,2.528,-3.46,7.46,-0.049,0.0438,0.0458,0.038,0.,0.,-0.0844,0.094,-
2014//2//27,58,06::44:00,17::50:25,12::16:53,6.134,15.38,3.17,2.525,2.883,4.638,0.988,2.525,2.091,2.525,2.182,2.5260000000000002,2.71,11.28,-0.018600000000000002,0.0199,0.0149,0.0146,0.,0.,-0.038700000000000005,0.0673,-
2014//2//28,59,06::42:23,17::51:42,12::16:42,6.206,15.442,1.464,2.525,-,-,0.008,2.43,0.018000000000000002,2.564,1.456,2.5260000000000002,-4.19,7.5600000000000005,-0.0325,0.0267,0.030100000000000002,0.021,0.,0.,-0.060200000000000004,0.07930000000000001,-
2014//3//1,60,06::40:43,17::52:58,12::16:30,6.2780000000000005,15.48,2.112,2.5260000000000002,1.439,4.639,0.23700000000000002,2.527,0.466,2.5260000000000002,1.875,2.529,-0.63,9.57,-0.0309,0.027600000000000003,0.0273,0.0235,0.,0.,-0.0613,0.08220000000000001,-
2014//3//2,61,06::39:04,17::54:13,12::16:18,6.351,15.541,3.87,2.525,4.011,4.639,1.865,2.525,3.244,2.525,2.005,2.528,2.89,11.91,-0.0053,0.0085,0.005200000000000001,0.0077,0.,0.,-0.013300000000000001,0.0432,-
2014//3//3,62,06::37:25,17::55:27,12::16:06,6.423,15.626,2.748,2.527,2.187,4.639,0.58,2.524,1.077,2.525,2.168,2.531,2.5300000000000002,10.65,-0.0132,0.015300000000000001,0.010400000000000001,0.0108,0.,0.,-0.025900000000000003,0.055600000000000004,-
2014//3//4,63,06::35:44,17::56:42,12::15:52,6.496,15.664,3.4050000000000002,2.525,3.261,4.638,1.102,2.525,2.198,2.525,2.303,2.527,0.66,11.9,-0.020900000000000002,0.024,0.017400000000000002,0.018000000000000002,0.,0.,-0.0396,0.0682,-
2014//3//5,64,06::34:02,17::57:57,12::15:39,6.57,15.725,3.6470000000000002,2.525,3.532,4.638,1.701,2.525,3.231,2.525,1.946,2.528,5.5200000000000005,13.64,-0.007,0.009300000000000001,0.0085,0.0098,0.,0.,-0.014100000000000001,0.04,-
2014//3//6,65,06::32:21,17::59:12,12::15:25,6.643,15.786,3.859,2.525,3.665,4.638,1.694,2.525,3.4330000000000003,2.525,2.165,2.5260000000000002,1.44,9.42,-0.013600000000000001,0.0177,0.0162,0.0178,0.,0.,-0.0263,0.0565,-
2014//3//7,66,06::30:39,18::00:24,12::15:11,6.7170000000000005,15.846,5.288,2.557,6.304,4.638,4.636,2.551,9.837,2.63,0.652,2.5300000000000002,-3.33,13.700000000000001,-0.054200000000000005,0.049300000000000004,0.0606,0.045700000000000005,0.,0.,-0.0969,0.1076,-
2014//3//8,67,06::28:55,18::01:38,12::14:56,6.79,15.907,3.1790000000000003,2.5260000000000002,2.4090000000000003,4.639,0.48,2.525,0.769,2.5260000000000002,2.699,2.527,-4.12,17.12,-0.022500000000000003,0.027100000000000003,0.0324,0.0346,0.,0.,-0.044700000000000004,0.078,-
2014//3//9,68,06::27:13,18::02:53,12::14:41,6.864,15.967,3.255,2.5260000000000002,2.672,4.638,0.748,2.524,1.334,2.5260000000000002,2.508,2.528,4.14,13.58,-0.0023,0.0053,0.0032,0.0058000000000000005,0.,0.,-0.004,0.020200000000000003,-
2014//3//10,69,06::25:30,18::04:06,12::14:26,6.938,16.027,4.398,2.649,4.538,4.638,2.744,2.666,5.357,2.6830000000000003,1.6540000000000001,2.527,-3.27,6.890000000000001,-0.0521,0.049100000000000005,0.060500000000000005,0.0521,0.,0.,-0.0724,0.0833,-
2014//3//11,70,06::23:45,18::05:18,12::14:10,7.0120000000000005,16.065,5.501,2.553,6.097,4.638,4.752,2.5540000000000003,9.929,2.547,0.749,2.545,-7.8,8.56,-0.13240000000000002,0.050300000000000004,0.1427,0.038400000000000004,0.,0.,-0.1749,0.0848,-
2014//3//12,71,06::22:00,18::06:30,12::13:54,7.086,16.148,5.675,2.686,6.28,4.638,5.027,2.678,10.311,2.844,0.648,2.5380000000000003,-9.83,14.9,-0.0829,0.0752,0.0947,0.0727,0.,0.,-0.11610000000000001,0.1134,-
2014//3//13,72,06::20:16,18::07:43,12::13:38,7.16,16.208000000000002,5.216,2.525,5.617,4.638,3.989,2.525,7.847,2.525,1.227,2.527,-4.3100000000000005,17.150000000000002,-0.0159,0.02,0.024,0.025400000000000002,0.,0.,-0.0246,0.048400000000000006,-
2014//3//14,73,06::18:31,18::08:56,12::13:21,7.234,16.267,5.2170000000000005,2.525,5.329,4.638,3.935,2.525,7.106,2.525,1.282,2.529,-4.01,14.51,-0.0158,0.0199,0.026000000000000002,0.0264,0.,0.,-0.0229,0.0441,-
2014//3//15,74,06::16:45,18::10:08,12::13:04,7.307,16.304000000000002,5.541,2.525,5.731,4.638,4.28,2.525,8.338000000000001,2.525,1.2610000000000001,2.5260000000000002,-5.,19.01,-0.020900000000000002,0.027,0.034,0.0352,0.,0.,-0.0345,0.061700000000000005,-
2014//3//16,75,06::14:59,18::11:19,12::12:47,7.381,16.364,5.271,2.525,5.259,4.638,3.331,2.525,5.664,2.525,1.94,2.527,1.7,20.04,-0.0027,0.0058000000000000005,0.0049,0.008,0.,0.,-0.0056,0.0262,-
2014//3//17,76,06::13:13,18::12:30,12::12:30,7.455,16.446,5.372,2.525,5.232,4.638,4.09,2.525,7.753,2.525,1.282,2.527,-8.17,7.,-0.0708,0.069,0.0816,0.06620000000000001,0.,0.,-0.1182,0.12000000000000001,-
2014//3//18,77,06::11:28,18::13:42,12::12:13,7.5280000000000005,16.505,6.011,2.525,5.977,4.638,5.2410000000000005,2.525,10.245000000000001,2.525,0.77,2.529,-7.84,8.790000000000001,-0.12000000000000001,0.046700000000000005,0.1345,0.0383,0.,0.,-0.1877,0.10020000000000001,-
2014//3//19,78,06::09:41,18::14:54,12::11:55,7.602,16.541,5.93,2.525,5.807,4.638,4.83,2.525,9.265,2.525,1.1,2.528,-10.03,15.25,-0.07540000000000001,0.0777,0.0864,0.082,0.,0.,-0.11380000000000001,0.1252,-
2014//3//20,79,06::07:54,18::16:06,12::11:37,7.675,16.6,6.095,2.525,5.832,4.638,5.158,2.525,9.528,2.525,0.937,2.529,-9.61,10.200000000000001,-0.056400000000000006,0.0653,0.0712,0.0661,0.,0.,-0.0903,0.1135,-
2014//3//21,80,06::06:08,18::17:16,12::11:19,7.748,16.659,6.147,2.525,5.821,4.638,5.285,2.525,10.058,2.525,0.862,2.528,-12.4,10.3,-0.08510000000000001,0.0876,0.0868,0.0834,0.,0.,-0.1159,0.1262,-
2014//3//22,81,06::04:22,18::18:26,12::11:02,7.821,16.741,6.21,2.548,5.772,4.638,5.308,2.5420000000000003,10.141,2.607,0.901,2.528,-12.85,13.3,-0.004,0.007500000000000001,0.012700000000000001,0.013800000000000002,0.,0.,-0.0082,0.0315,-
2014//3//23,82,06::02:36,18::19:37,12::10:44,7.893,16.797,6.143,2.525,5.689,4.638,5.192,2.525,9.603,2.525,0.9510000000000001,2.527,-9.83,17.27,-0.0048000000000000004,0.008400000000000001,0.013900000000000001,0.0175,0.,0.,-0.0112,0.038900000000000004,-
2014//3//24,83,06::00:48,18::20:48,12::10:25,7.966,16.836000000000002,5.907,2.525,5.301,4.638,4.135,2.525,7.338,2.525,1.772,2.5260000000000002,-9.73,20.71,-0.0027,0.007,0.009000000000000001,0.0149,0.,0.,-0.005,0.0244,-
2014//3//25,84,05::59:01,18::21:59,12::10:07,8.038,16.894000000000002,4.343,2.525,3.258,4.639,1.4020000000000001,2.525,2.205,2.525,2.9410000000000003,2.5260000000000002,-3.23,10.99,-0.0005,0.0025,0.0016,0.0047,0.,0.,-0.0023,0.020800000000000003,-
2014//3//26,85,05::57:15,18::23:09,12::09:49,8.109,16.953,4.324,2.525,3.145,4.638,1.474,2.5260000000000002,2.311,2.525,2.85,2.5260000000000002,-2.3000000000000003,10.16,-0.0025,0.0054,0.0056,0.007200000000000001,0.,0.,-0.0068000000000000005,0.0317,-
2014//3//27,86,05::55:30,18::24:19,12::09:31,8.181000000000001,17.011,3.914,2.525,2.61,4.639,1.173,2.5260000000000002,2.866,2.525,2.741,2.5260000000000002,-0.31,8.96,-0.0018000000000000002,0.0045000000000000005,0.0036000000000000003,0.0066,0.,0.,-0.0036000000000000003,0.0211,-
2014//3//28,87,05::53:42,18::25:29,12::09:13,8.252,17.069,4.438,2.525,3.269,4.639,1.553,2.525,2.157,2.525,2.8850000000000002,2.527,2.07,13.780000000000001,-0.0012000000000000001,0.0037,0.0018000000000000002,0.0045000000000000005,0.,0.,-0.0025,0.017400000000000002,-
